drink_id,ingredient_id,measure_in_cl
1,4,5
1,7,3
1,9,2
2,4,6
2,9,1
3,2,5
3,7,3
3,9,2
4,3,5
4,8,3
4,9,2
5,3,5
5,8,3
5,9,2
6,1,5
6,6,3
6,8,3
7,5,3
7,6,3
7,8,3
8,1,4
8,6,3
